"","DS_P12A_1","DS_P12B_1","DS_P12C_1"
"626","reponedora","reponer productos en las repisas o estantes","comercio en construccion y hogar"
"627","secretaria","secretaria","asesoria juridica"
"628","taxista","conductor",NA
"629",NA,NA,NA
"630","manipuladora de alimentos","preparar la alimentacion para las personas",NA
"631",NA,NA,NA
"632",NA,NA,NA
"633",NA,NA,NA
"634","servicio ge eral pintor del ejercito","una fui pintor todo lo que era pintura, y despues sub gerente de club de campo de sub oficiales","ejercitode chile empleado fiscal"
"635",NA,NA,NA
"636",NA,NA,NA
"637",NA,NA,NA
"638",NA,NA,NA
"639","vendedor","vendedor de computadoras",NA
"640","asesora de hogar","aseo y cuidar niÒos","casa particular"
"641",NA,NA,NA
"642",NA,NA,NA
"643",NA,NA,NA
"644","esporadica","radier de cemento","casas particulares"
"645","vendedor",NA,NA
"646",NA,NA,NA
"647","operador de gri∫a","operador de gri∫a","operador de gri∫a"
"648","operaria","operario","textil"
"649","encarga","encargada","encarga"
"650",NA,NA,NA
"651","mecanico","duelo de un taller mecanico","mecanica en general"
"652","operario minero","chofer camion gri∫a","mineri≠a"
"653","director de escuela","diriguir escuela y hacer clases","educacion"
"654","docente de aula","enseÒar, instruir, corregir, moldear","educar"
"655",NA,NA,NA
"656","esbio, contador","control de agua, contador","produccion de agua"
"657","maestro de cocina","preparar alimentos","restorant"
"658",NA,NA,NA
"659","temporera","recoleccion de frutas","fundo particular"
"660","panificador","hacer pan","panaderia"
"661",NA,NA,NA
"662","mantenimiento en consultorio","hacer aseo y reparar lo que fuere necesario","dar salud a los de la comunidad"
"663","peluqueri≠a,corte de cabello","trabajos de peluqueri≠a en general","atencion de pi∫blico.cortar cabello"
"664","prensista calificado","operario","facturera dd papel"
"665","temporera","cortar fruta","agricultura"
"666","maestro de la construccion","constructora de piscina","construccion"
"667","asesora del hogar","aseo cuidar enfermo","casa particular"
"668","operario","operador de maquinaria","importan boldo"
"669","transporte de pasajeros","chofer","chofer"
"670","copera","lavando copas","gastronomi≠a"
"671",NA,NA,NA
"672","atencion de publico","cobrar","estudio fotografico"
"673","servicio domestico","hacer aseo lavar planchar cuidar niÒos","casa particular"
"674","atender publico","vender carne","atender la carnuceria de unimarc"
"675","profesora de educacion especial","hacer clases","educacion prebasica"
"676","repinedor de supermercadi","reponer mer aderia","supermercado"
"677",NA,NA,NA
"678","vendedora en fabrica de helados","vendedora","fabrica de helados"
"679","enpleado publico","enplearo publico","supervisar sacar multas"
"680",NA,NA,NA
"681",NA,NA,NA
"682",NA,NA,NA
"683",NA,NA,NA
"684","pioneta","repartir alimentos","reparte alimentos a casino"
"685","cuidadora de adulto mayor","cuidar adultos mayores discapacitados","trabajaba en forma independiente"
"686",NA,NA,NA
"687","trabajar en agricultura","sacar papas y llenar sacos",NA
"688",NA,NA,NA
"689","temporera","cosechar","exportacion"
"690",NA,NA,NA
"691",NA,NA,NA
"692",NA,NA,NA
"693","tejedora","hilar la lana y hacer tejidos","vender tejidos de lana de oveja"
"694",NA,NA,NA
"695","vendedora","vender","vender reatail"
"696","venta de joyas","vender",NA
"697","maestro","obrero de la construccion","construccion de viviendas"
"698",NA,NA,NA
"699","vendedora","vendi≠a ropa",NA
"700","cuidador de casa particumiar","realizar lanorea de mantencion n casa",NA
"701","productora de eventos",NA,"eventos todo tipo matrimonio bautizo etcetera"
"702",NA,NA,NA
"703","conductor ambulancia","trasladi de paciento","esachs"
"704",NA,NA,NA
"705","naestro carpintero","rtar madera ckavar farrar fuera y detrode una casa","constructora inmobkliaris"
"706",NA,NA,NA
"707","aseo","aseo limpiar",NA
"708",NA,NA,NA
"709",NA,NA,NA
"710","administrativo","monitor de patrimonio","colegio"
"711","semillera de investigacion","investigar","investigacion de choclos"
"712","asesora de hogar","quehaceres del hogar","hogar particular"
"713","comerciante","vendo psn","cual merciante"
"714",NA,NA,NA
"715","agricultor","sembrar","campo"
"716",NA,NA,NA
"717","obrero forestal","obrero","empresa forestal"
"718",NA,NA,NA
"719",NA,NA,NA
"720","comerciante","venta comida","cual mercio"
"721","asesora del hogar","planchar ,lavar,limpiar la casa cocinar","casa particular"
"722","era cajera de un supermercado","cajera","supermercado"
"723","c8mervio","conercio","venta de mueble"
"724","inspectora","enxargada binliotecw","revisar entregsr libro"
"725","limpieza de tomates","limpieza de tomates de huertos","empresa agri≠cola"
"726",NA,NA,NA
"727","asesora","asesora","hogar"
"728","comerciante de abarrotes","venta de productos abarrotes","venta de productos para el hogar azi∫car te cafe etc"
"729","separador la basura del alimento","separador basura","frigoirifco"
"730",NA,NA,NA
"731","casa particular","asesora de hogar","casa particular"
"732","minero operador maquinarias","operador maquinas","minera"
"733",NA,NA,NA
"734","vendedora","vendia ropa de todo",NA
"735","trabaja independiente.vende productos en la calle.","vender artesani≠a en la calle","artesani≠a de ecuador.vende en las calles"
"736","transporte publico","transporte pi∫blico","transporte pi∫blico"
"737","asistente de director regiobal","secretaria tecnic","ministerio de obraas publicas"
"738",NA,NA,NA
"739","inspector   internado","cuidado de internos","preocupacion y cuidado de los alumnos"
"740",NA,NA,NA
"741","aseo","aseo","en diferentes partes"
"742",NA,NA,NA
"743","manipuladora de alimentos","cocinar","fabrica"
"744","estructura metalica","estructura metalica","estructura metalica"
"745","hace pedidos ,entregan los productos","vender productos de belleza","avon"
"746","aseo","botar la basura , limpiar","fabrica de tomates"
"747","aseo industrial","limpieza en el lider","servicios"
"748","auxiliar de aseo","limpiar","oferta medio ambiente"
"749","aeronautica monitor vuelos","monitor de vuelos","aeronautica monitor de vuelos"
"750","asistente de peluqueri≠a","lavavajillas el pelo limpiar ordenar","estetica"
"751",NA,NA,NA
"752","seleccionadora de frutas","seleccionar la fruta de exportacion","empresa envasadora de frutas"
"753",NA,NA,NA
"754","vendedora en heladeri≠a","atencion al pi∫blico y ventas","venta de helados"
"755","obrero","cargador","pesquera"
"756","vendedora en tienda","atender al pi∫blico, vender prendas de ropa y accesorios","venta de ropa en general"
"757","barrer, regar pasto,limpiar las plazas","limpiar plazas regar pastos","municipalidad de talca"
"758",NA,NA,NA
"759",NA,NA,NA
"760","camion de recoleccion de la basura","pioneta","recolecta vasuras"
"761","maestro de primera electrico","trabao de ekectricudad","reduccioc de contaminabtes  tratamientos vuore"
"762","control de proyectos","verificar compromisos para el cliente","medio ambiente"
"763",NA,NA,NA
"764","maestro calderero",NA,NA
"765",NA,NA,NA
"766","comerciante","atender almacen","comercio"
"767","contadora","contadora, iva, devoluciones etc.",NA
"768","proempleos","areas verdes pintura muro ceramica construccion pegar alfombras","programas de emergencia"
"769",NA,NA,NA
"770","cajera tur bus","vender pasajes de bus","transporte"
"771","medico",NA,"controles de salud, entre otros."
"772",NA,NA,NA
"773","asesora del hogar","limpieza","casa particular"
"774","garzon","atencion de pi∫blico","hoteleri≠a"
"775","publicidad","disrÒo",NA
"776",NA,NA,NA
"777","tractorista","pasa el tractor",NA
"778","inspector","ver el tema de orden","educacion, colegio"
"779",NA,NA,NA
"780",NA,NA,NA
"781","chofer","chofer","uber"
"782",NA,NA,NA
"783",NA,NA,NA
"784","soldador","soldador","construccion"
"785","aseadora","barrer, sacudir",NA
"786","asesora del hogar","asesora del hogar","casa particular"
"787","comerciante","comerciante","negocio"
"788","carpinteri≠a","reparacion muebles",NA
"789","comerciante","comerciante","negocio"
"790","costurera","confwccion de ropa","confeccionar ropa"
"791",NA,NA,NA
"792","supervisor de guardia de seguridad","vigilancia","seguridad"
"793","conductor del transantiago","conducir las microa de tranaantiaho","empresa transporte publico"
"794","obrero foresta","obrero forestal","motodierrista forestal"
"795",NA,NA,NA
"796","administracion","supervisar","administracion de propiedades"
"797","obrero agricola","podas","fundo particular"
"798","sgricultor","cosecha de papas","sembrar"
"799","asesora","aseo","casa particular"
"800","mantencion de cada y jardi≠n","limpieza de la casa y riego de jardi≠n","casa particular"
"801",NA,NA,NA
"802","hacer las cosas del hoagr","hacer las cosas del hogar hacer asea, plancha","casa particular"
"803","obrero agri≠cola","cuidar el campo","empresa agri≠cola"
"804","asesora hogar","aseo y limpiaza","casa particular"
"805","en el cambo, investigacion y desarrollo","investigacion y desarrollo  sobre cultivo. rendimiento de las cosechas","investigacion y desarrollo"
"806","jornal,seleccionador de madero","selecciona la madera por pulgada","banco aserradero ,para hacer casas prefabricada"
"807","asistente judicial","redaccion de documentos","bufete de abogados"
